date,option_price
2025-01-28,100.27
2025-01-29,95.8
2025-01-30,101.5
2025-01-31,103.19
2025-02-03,88.46
2025-02-04,91.0
2025-02-05,84.25
2025-02-06,78.56
2025-02-07,72.0
2025-02-10,66.15
2025-02-11,54.07
2025-02-12,63.3
2025-02-13,69.47
2025-02-14,68.65
2025-02-18,65.0
2025-02-19,71.0
2025-02-20,65.75
2025-02-21,56.04
2025-02-24,52.8
2025-02-25,39.51
2025-02-26,35.45
2025-02-27,32.85
2025-02-28,37.5
2025-03-03,33.28
2025-03-04,29.45
2025-03-05,30.35
2025-03-06,26.0
2025-03-07,26.26
2025-03-10,16.61
2025-03-11,18.55
2025-03-12,22.85
2025-03-13,20.42
2025-03-14,22.12
2025-03-17,18.5
2025-03-18,15.32
2025-03-19,17.65
2025-03-20,17.25
2025-03-21,20.5
2025-03-24,31.0
2025-03-25,36.2
2025-03-26,29.58
2025-03-27,30.55
2025-03-28,27.25
2025-03-31,25.36
2025-04-01,29.35
2025-04-02,34.1
2025-04-03,28.5
2025-04-04,21.18
2025-04-07,17.1
2025-04-08,15.4
2025-04-09,28.35
2025-04-10,21.08
2025-04-11,20.45
2025-04-14,19.95
2025-04-15,19.65
2025-04-16,16.24
2025-04-17,15.2
2025-04-21,12.72
2025-04-22,15.75
2025-04-23,18.41
2025-04-24,19.3
2025-04-25,30.0
2025-04-28,30.45
2025-04-29,33.0
2025-04-30,28.7
2025-05-01,28.55
2025-05-02,33.0
2025-05-05,26.5
2025-05-06,24.97
2025-05-07,23.92
2025-05-08,28.21
2025-05-09,34.2
2025-05-12,40.65
2025-05-13,50.27
2025-05-14,57.67
2025-05-15,54.45
2025-05-16,57.4
2025-05-19,52.72
2025-05-20,54.3
2025-05-21,49.71
2025-05-22,54.35
2025-05-23,53.15
2025-05-27,65.83
2025-05-28,63.35
2025-05-29,62.45
2025-05-30,54.9
2025-06-02,50.5
2025-06-03,51.87
2025-06-04,46.04
2025-06-05,26.66
2025-06-06,29.3
2025-06-09,33.88
2025-06-10,41.65
2025-06-11,41.5
2025-06-12,37.47
2025-06-13,41.65
2025-06-16,42.43
2025-06-17,36.5
2025-06-18,38.7
2025-06-20,37.6
2025-06-23,50.63
2025-06-24,45.37
2025-06-25,38.58
2025-06-26,37.4
2025-06-27,34.4
2025-06-30,30.9
2025-07-01,24.3
2025-07-02,28.85
2025-07-03,29.1
2025-07-07,21.25
2025-07-08,21.37
2025-07-09,19.67
2025-07-10,24.39
2025-07-11,25.7
2025-07-14,26.8
2025-07-15,24.32
2025-07-16,28.21
2025-07-17,26.58
2025-07-18,31.05
2025-07-21,30.6
2025-07-22,32.09
2025-07-23,31.37
2025-07-24,19.05
2025-07-25,22.2
2025-07-28,25.96
2025-07-29,23.65
2025-07-30,22.0
2025-07-31,18.55
2025-08-01,16.95
2025-08-04,18.0
2025-08-05,17.67
2025-08-06,21.15
2025-08-07,22.14
2025-08-08,24.55
2025-08-11,29.45
2025-08-12,29.54
2025-08-13,28.6
2025-08-14,26.4
2025-08-15,23.84
2025-08-18,25.12
2025-08-19,22.85
2025-08-20,20.46
2025-08-21,19.5
2025-08-22,26.8
2025-08-25,30.0
2025-08-26,32.05
2025-08-27,31.0
2025-08-28,28.35
2025-08-29,22.55
2025-09-02,20.2
2025-09-03,23.2
2025-09-04,23.62
2025-09-05,29.67
2025-09-08,27.04
2025-09-09,26.47
2025-09-10,27.27
2025-09-11,38.13
2025-09-12,55.32
2025-09-15,64.7
2025-09-16,72.35
2025-09-17,75.96
2025-09-18,70.0
2025-09-19,75.04
2025-09-22,81.0
2025-09-23,75.79
2025-09-24,87.6
2025-09-25,73.34
2025-09-26,83.8
2025-09-29,87.0
2025-09-30,86.5
2025-10-01,99.15
2025-10-02,80.51
2025-10-03,74.72
2025-10-06,91.62
2025-10-07,79.6
2025-10-08,79.01
2025-10-09,74.0
2025-10-10,61.2
2025-10-13,74.62
2025-10-14,72.6
2025-10-15,74.8
2025-10-16,71.7
2025-10-17,80.0
2025-10-20,83.98
2025-10-21,81.59
2025-10-22,76.0
2025-10-23,80.15
2025-10-24,67.59
2025-10-27,82.35
2025-10-28,94.0
2025-10-29,91.38
2025-10-30,74.13
2025-10-31,86.31
2025-11-03,98.19
2025-11-04,77.75
2025-11-05,91.34
2025-11-06,79.58
2025-11-07,63.15
2025-11-10,75.0
2025-11-11,66.32
2025-11-12,61.25
2025-11-13,40.2
2025-11-14,40.45
2025-11-17,43.65
2025-11-18,38.9
2025-11-19,39.25
2025-11-20,35.12
2025-11-21,30.6
2025-11-24,50.25
2025-11-25,47.85
2025-11-26,51.6
2025-11-28,53.77
2025-12-01,53.72
2025-12-02,53.35
2025-12-03,69.2
2025-12-04,76.12
2025-12-05,76.84
2025-12-08,60.55
2025-12-09,69.46
2025-12-10,75.83
2025-12-11,67.51
2025-12-12,77.98
2025-12-15,96.3
2025-12-16,110.79
2025-12-17,87.5
2025-12-18,103.84
2025-12-19,101.64
